width	height	arkid
189.0	250.0	m303537f6f-a828-454c-933b-d18fff282ce1
237.0	249.0	m372b6e990-cace-43f3-9613-6c23eec9c9d0
250.0	230.0	m384968f16-9366-4b43-88f5-90028969d8c4
250.0	199.0	m393498c8f-e70f-4277-8ed3-8dd272f65145
239.0	250.0	m3c45ef1e0-7bde-4e48-9ef5-f110a1b252b2
245.0	250.0	m3bd0a3e04-6e98-4bcd-ae4d-3ef1c4ce0020
250.0	179.0	m324ea5da7-5c2f-43e8-bbf6-f8860b0d1901
245.0	250.0	m3f4e460a0-20f2-4b09-8e7e-14a847b51822
226.0	250.0	m38675e226-b66f-47d7-9e3c-ecbdec868c0e
183.0	250.0	m30a72813f-41bd-4580-aa60-13664201d86a
208.0	250.0	m3f327348b-8b99-42b3-8d22-a0f7d3757a9d
250.0	238.0	m3283e10ec-e100-4068-8164-7be214d75cb4
250.0	193.0	m3fc6991e0-b835-4e86-a326-e71757439078
250.0	155.0	m31457811b-68ab-47e3-8cb7-2970989bac15
250.0	222.0	m3b9dc3625-b6b8-485b-bf4a-dabfeac5b6ae
250.0	214.0	m36c7d11f2-805e-4d74-b1a3-49e35c9b8cc6
192.0	250.0	m30f6821a2-fcb4-4eb5-89fd-fd5b144b1864
235.0	250.0	m3de4019c1-7e3f-4519-bddf-04715c6dbf18
239.0	250.0	m3184779a7-2f4e-4589-8760-7405e54b8ebf
250.0	173.0	m3c0354b5a-875a-452e-acc6-3aaaf8058640
245.0	250.0	m32de9429e-9759-4556-8293-247bdb39a698
250.0	225.0	m3dcf14c45-268b-4276-ad19-42b1b1f795d6
220.0	250.0	m33f565685-5edd-436b-b10a-6c1c2d551b5e
236.0	250.0	m3cbc317aa-8409-4b56-86b9-5140c8b34634
250.0	195.0	m3d567886b-47e8-4338-9fbe-df29f51ef1b6
250.0	178.0	m3f162f0e9-dee1-41bc-98a0-1a02c912a0b8
250.0	244.0	m3f751307b-8110-46b9-9d25-98edde8f3f4b
239.0	250.0	m3dc5afc1a-7319-4909-9ebf-11207e77c59d
250.0	169.0	m36082628f-177c-4608-a6f6-c60c489dcbd3
229.0	250.0	m339f644fe-30f3-45ea-b738-0f87f6f1f514
249.0	250.0	m3aa4fe776-862d-4e34-8e22-913a9f7b5974
227.0	250.0	m3a5b81082-107d-43cb-8972-594c66c2b5d9
246.0	250.0	m3b3ce93a7-b5f4-4320-9f22-e61e6c35d094
250.0	193.0	m39cc5ff47-73db-49dd-9e00-4d618d90cd85
231.0	250.0	m34f285d0b-cb9d-41e8-9f86-22213c912e82
250.0	185.0	m3c2e25dc9-4401-4583-a046-e3881194bca6
250.0	242.0	m365135a30-2a2b-40e3-a3e0-1d66d44200a3
250.0	185.0	m310128b3d-4db6-407d-8986-7046b1e31971
250.0	233.0	m321fdbe43-e845-4f98-9fe9-541f5577cc12
249.0	128.0	m3a2430992-091b-4f55-b02d-8cc22b7514fa
249.0	128.0	m39d55d2ec-0c7d-4a3d-9064-104e3729870f
250.0	134.0	m381a8a24a-1c36-4e9c-a9f3-bfc43dc65c66
214.0	249.0	m311ca4142-1131-4d55-805f-a638482dbef6
249.0	152.0	m39c8bdced-5c0d-459e-a8d4-110e20a84ff7
249.0	109.0	m3791b7f01-ab1a-482a-9a8c-b2c35e45d506
250.0	172.0	m3bc81cf74-0470-479a-8906-90db5334cfa9
154.0	250.0	m38a6ba782-6469-445f-9835-86ef273beba7
250.0	181.0	m356875bce-41b5-4451-8333-8ba7e2078b9e
250.0	140.0	m3189daa2c-382e-46ce-a0dd-3229e4b9281d
250.0	214.0	m36d0c9f96-3cb0-47c7-a009-4c83a3f93dd1
218.0	250.0	m30cc45bd3-11b4-480c-9cfe-1e9add18d63a
249.0	132.0	m3e195bc76-b9e5-4dea-8b77-f5ccab701619
250.0	160.0	m3ad866a8c-b620-44c2-9e0a-c99be6fc56e5
221.0	250.0	m332a95b9a-3c04-45bf-a890-4596a7bbd79b
244.0	250.0	m30e85d0fc-f4e9-4299-88d0-9a1e1928dd89
250.0	241.0	m333f9a649-8d79-4abb-b968-7f609f9b9f63
250.0	245.0	m3b4b084b6-4514-42e6-8b8d-d2638c55d9eb
203.0	250.0	m32bb55fb8-3980-4096-a184-b37bc64153aa
249.0	250.0	m383bf3ed2-ead5-4711-ad2f-724a58945d37
250.0	161.0	m3b6572ad6-c4d3-4247-ad3b-d121fbbf3b9c
144.0	250.0	m3351e16de-5612-4bef-a8db-22e8677ec6af
249.0	250.0	m33dba4650-8067-4772-896a-60d9ea06a675
98.0	250.0	m38b3e75bb-71e0-4c25-8cc6-fc9dde55b176
236.0	250.0	m3d76401da-1fbf-46ea-9714-1099d76fd691
250.0	208.0	m32321c4c3-2279-413b-b6d0-c2b317c78d44
168.0	250.0	m360e3c231-1f42-4c9e-bf16-f98c835fe8ab
201.0	250.0	m33e72147a-b586-499a-a0f9-6def65eb4e91
249.0	208.0	m33500988e-e2f9-4c0c-9c45-feb90f3c7936
250.0	222.0	m303ebf664-7676-4c78-858a-3d541a06f972
250.0	231.0	m3162f1bb7-8428-4d0c-8b40-766208f65f64
244.0	250.0	m38261ef3d-c49f-4bf9-b9bc-4b11b45ebb33
243.0	250.0	m3d55d7ea8-f82b-4509-bc73-95bc3e41fcb2
250.0	219.0	m365032633-acc7-4b02-8afe-cbfeca38c0e5
249.0	180.0	m3d8fc30c3-c3f6-40ac-b9e9-221c2ec20451
220.0	250.0	m3345796e1-3480-4df2-9500-81f1655f1960
