asset_name	image_arkid
NMNH-R6584	http://n2t.net/ark:/65665/m35bf23356-5d8c-4112-9b37-2895bfa6f6ee
NMNH-115810-105	http://n2t.net/ark:/65665/m300aebe5e-23f5-4707-bfb8-242af678bc52
NMNH-115810-107	http://n2t.net/ark:/65665/m38aa21d18-13d2-4f8c-a10c-ceac47f24ed0
NMNH-115810-84	http://n2t.net/ark:/65665/m3ad22864f-e36d-4964-978b-57ebd3b3a6b7
NMNH-116320-000001	http://n2t.net/ark:/65665/m3ce6105ac-afa8-445b-a30c-19285be488cd
NMNH-116690	http://n2t.net/ark:/65665/m3e45791fb-4b89-470c-b587-3de919de4a24
NMNH-116542-2	http://n2t.net/ark:/65665/m33bb68429-6ec4-431f-acda-cd547950cf96
NMNH-116619-1	http://n2t.net/ark:/65665/m3738c403e-842a-478c-9ea9-0580ce2ed9d7
NMNH-116647-2	http://n2t.net/ark:/65665/m307d59015-2b36-44e4-b1b2-5f8a6f7acaba
NMNH-R6573	http://n2t.net/ark:/65665/m34c8c2c0e-a3a5-4c52-8c47-03b8d620832c
NMNH-117239-4	http://n2t.net/ark:/65665/m3ebb47075-cccc-4ed5-a919-55f7003acc8c
NMNH-R5080	http://n2t.net/ark:/65665/m322aa94e5-dbd6-4f05-bc97-36d6fce994f4
NMNH-112549-000003	http://n2t.net/ark:/65665/m34751184a-d47e-4759-aedc-61c0924644be
NMNH-115810-102	http://n2t.net/ark:/65665/m3c4af9d41-f826-4566-8b8b-833075383e90
NMNH-115810-30	http://n2t.net/ark:/65665/m39271a1e4-3f0c-42f4-825d-c0378b81e5c3
NMNH-116619-25	http://n2t.net/ark:/65665/m3d99c67c5-12fc-4019-8c69-34ea5a359648
NMNH-116626-15	http://n2t.net/ark:/65665/m3a1f028fa-fbf4-4fec-91bd-4dcac0b1eb6e
NMNH-116645	http://n2t.net/ark:/65665/m3db1a8e6c-57b4-4991-ba72-f73f11614b1e
NMNH-116619-49	http://n2t.net/ark:/65665/m36c2d2cc7-a128-4157-8b1e-4850b6682246
NMNH-32451	http://n2t.net/ark:/65665/m3c8eb400d-1d1f-4c10-a7f2-99ec28794f80
NMNH-67366	http://n2t.net/ark:/65665/m3286bba0c-3cb2-4ffa-ad62-70ffe94eab09
NMNH-116619-13	http://n2t.net/ark:/65665/m3b38393a2-17cd-40ce-a350-8f93a764b4f0
NMNH-116626-5	http://n2t.net/ark:/65665/m37220aae8-1833-4993-b511-9442723c0baa
NMNH-116630	http://n2t.net/ark:/65665/m322b73d52-13df-4a9e-8d77-1af757714805
NMNH-108401	http://n2t.net/ark:/65665/m3cf0a89c3-3b09-4b57-83fb-2a086dcd5477
NMNH-115810-110	http://n2t.net/ark:/65665/m3195aac22-4418-42e0-9d12-c9ffeac7080a
NMNH-115810-112	http://n2t.net/ark:/65665/m3456dd032-bc4a-4835-8032-657b0b3ae430
NMNH-52966	http://n2t.net/ark:/65665/m38dfa15ab-47c7-400b-ba76-b03dfb38a68a
NMNH-54871	http://n2t.net/ark:/65665/m334926055-765c-4506-90b1-5209ba0c6a42
NMNH-63547-1	http://n2t.net/ark:/65665/m376aa9571-e878-4aa3-9c3d-cc402f6865a8
NMNH-194-000003	http://n2t.net/ark:/65665/m33b10090c-8248-42c4-9049-608b46208fb5
NMNH-197-000002	http://n2t.net/ark:/65665/m3cfefa6e7-4362-41a9-ae29-613e1a5790db
NMNH-373	http://n2t.net/ark:/65665/m3719fe377-1c92-4107-aa45-71d46558ce1e
NMNH-394	http://n2t.net/ark:/65665/m35405877b-3f81-4fb7-93e9-065a88985c5c
NMNH-401-a	http://n2t.net/ark:/65665/m3a0bf581f-eac4-4bf8-9b90-3a5f74139304
NMNH-401-b	http://n2t.net/ark:/65665/m3eda098b0-e5bd-4dfb-a7c1-dc19858b1659
NMNH-401-c	http://n2t.net/ark:/65665/m3a192faeb-fefe-42fa-ae7a-ce713d73ae74
NMNH-401-d	http://n2t.net/ark:/65665/m3d6b2766f-72dd-4bd9-91ac-36bf38c85604
NMNH-5296	http://n2t.net/ark:/65665/m3844f7891-ef7c-4862-a44a-892aac709ace
NMNH-571	http://n2t.net/ark:/65665/m31edc9c00-49db-4830-92e5-015f157cf08a
NMNH-18731	http://n2t.net/ark:/65665/m329589c52-d32d-45b8-b639-2018c0868fe9
NMNH-38535	http://n2t.net/ark:/65665/m3ca99c694-66ab-4f93-bb3a-ba051aa86882
NMNH-116619-14	http://n2t.net/ark:/65665/m3c4ccb308-5241-4fb3-8c7d-d8afe30b12d4
NMNH-116634-1	http://n2t.net/ark:/65665/m39b890562-39bf-430c-9b9b-14e3422f8d12
NMNH-116647-1	http://n2t.net/ark:/65665/m3c4eff518-9020-4f6d-868c-7939d933fec1
NMNH-37614	http://n2t.net/ark:/65665/m3ad5ba09a-141c-4ce1-9faa-fd1c8ca751f6
NMNH-37614-000001	http://n2t.net/ark:/65665/m33e658a24-2748-4a0f-9383-a6d80a8f369e
NMNH-39130	http://n2t.net/ark:/65665/m3896281d6-d4af-4d12-967b-1891e0bc9335
NMNH-53597-000002	http://n2t.net/ark:/65665/m32b19fea4-501f-411a-97fd-7695e94a9586
