width	height	arkid
249.0	187.0	m397abe73a-651b-46df-94f7-0af9cc625b62
249.0	187.0	m37b39dd2f-09d2-4ad0-ada9-943b25da28c7
249.0	187.0	m38dbd1f61-331d-42d2-9948-d29fa9241ceb
249.0	187.0	m3d476a648-c5f3-4ae0-9ce1-b46d76f96e87
249.0	187.0	m3c8edc472-bd66-42c5-b3b8-c1d6578f5931
249.0	187.0	m33746dbdb-f52c-42b5-ba3b-05e8f77792a6
249.0	187.0	m30da83b58-19f9-4fdd-aecf-4d84ec9c7899
249.0	187.0	m3977dc669-1710-449d-b9b6-95c15247f57c
249.0	187.0	m39bda0627-9f52-4009-b177-2c058189d5f5
249.0	187.0	m38615c2e4-af7d-49c8-a162-4d6a92e5e837
249.0	187.0	m37695dbc1-f142-495e-b018-288254d239d1
249.0	187.0	m33bec24d8-174f-49fe-ad08-3d61f80f2ba1
249.0	187.0	m30bbf3b98-98a3-4019-ab54-5f2cb8b1f4e0
249.0	187.0	m3a006e05c-4b81-42d1-95f9-856beab206ec
249.0	187.0	m3be374797-c29b-47aa-98d8-c95971a24e40
249.0	187.0	m3dc6bae7a-1db3-4ca4-a903-e45e6b314c86
249.0	187.0	m3654542fb-f853-445e-be19-9d422229061a
249.0	187.0	m3366c617e-3328-4e52-bef3-825f6a6d4d28
249.0	187.0	m33e20904e-e9cb-417d-8ad6-4e17848ca18b
249.0	187.0	m301d3849b-69a6-405a-abf6-0d3d30b5c51e
249.0	187.0	m388a25e8e-afd9-4ec7-8e85-b379b88d8f19
249.0	187.0	m353d3331c-072d-40be-9536-da43e4678591
249.0	187.0	m331a263a3-8a88-4053-b3b2-e6379819eed0
249.0	187.0	m357ba79d2-55c0-4fb0-83ec-9406f335c49b
218.0	250.0	m39ffdcdf9-39c4-43d4-a09b-1bed7f37f849
250.0	142.0	m3e51f22cb-6342-433a-ab9f-155a86dcaeab
249.0	143.0	m3db5b1f6f-61fb-4750-a21b-eafdbaea91dd
249.0	119.0	m39e228c20-9ee1-407a-85b6-54e668aaec30
249.0	187.0	m3544c9c9b-a662-42d0-a373-cfd6528a6984
249.0	187.0	m3a8ad7192-8c07-4be4-b2fe-62cce36dd5e0
249.0	187.0	m32cc1e01c-b784-4126-890f-585a7e201650
249.0	187.0	m321160c9b-d772-496b-a95b-8594b17d451a
249.0	187.0	m3843d9851-91a6-4be1-a251-ca28e8c53f34
249.0	187.0	m37632e69d-35a3-498f-b013-d11c81a6be7c
249.0	187.0	m327c66e58-372b-4c73-b239-3dd743bd27f0
249.0	187.0	m32d736b5c-7571-4890-9ae1-ac7642fc2e2a
250.0	171.0	m3592912f1-d305-46f8-a86a-72dba358775e
250.0	200.0	m31d0edfbf-c7d7-411f-8da9-38935255220c
250.0	200.0	m34ac7db3d-350b-46e7-963e-ba9a4184222a
250.0	200.0	m31cd7a2e6-5b99-450b-ac86-e0890a10c87f
250.0	200.0	m311f1040c-b426-4faf-b7f6-e20688a237fd
250.0	200.0	m32b9176f4-8001-495c-bd1e-1bc6c0dc6c65
250.0	200.0	m318a88f7b-aa6a-459b-813b-960543de51cb
250.0	200.0	m3a0acb5a6-bab0-4e74-a157-93a62817cff8
250.0	200.0	m341e14fc2-347e-4087-bea8-b13c555b5eb9
250.0	200.0	m303914f8a-7fee-4546-b3e1-d3d6a34f419d
250.0	200.0	m3fa86a4ab-b1c7-4108-a56f-f20655e4209d
250.0	200.0	m30e514d75-6ff4-4288-9bd4-58026769e8dd
250.0	200.0	m3c5f258f7-3e0a-4f19-a681-8126728b3e71
250.0	188.0	m333ecf479-cbdf-4070-9685-b2ad01b773ad
250.0	200.0	m3387ed6ce-9d95-44b0-8df8-dc08a1efdffa
250.0	200.0	m3d95bd24a-9987-42a4-989c-ca310dd27458
250.0	200.0	m3f376aea4-758c-4dd9-8b60-b04728d4ab13
250.0	200.0	m33c5217bc-1ae9-4749-9490-8d9d47785fe7
250.0	200.0	m36366b7ce-065d-41cf-b213-56da0452cc68
250.0	200.0	m3163a9b6a-e795-43f4-b25b-07530ddc177b
250.0	200.0	m3481a7e8f-4e09-4614-89b6-339e5e0a185f
250.0	200.0	m3aa457c16-198c-4425-9994-0236a7cad4b2
250.0	200.0	m3b94ab6c1-6bca-4d13-a911-02884e3098d4
250.0	200.0	m3bb16d2e9-70f4-4c6a-bb7e-a3a40c97073d
250.0	200.0	m33eb7fb02-0ba7-48a5-a921-b6d0f7ad0f0f
250.0	200.0	m3e09fa783-20d9-43cd-9184-45770395db1f
250.0	200.0	m3be23122b-0029-4185-b71f-c08703c7a8f1
250.0	200.0	m3b966d729-0413-4338-9620-0bca82177f46
